iter	Passed	Remaining
846	1456	263
847	1457	261
848	1459	259
849	1461	257
850	1462	256
851	1464	254
852	1466	252
853	1467	250
854	1469	249
855	1471	247
856	1473	245
857	1474	244
858	1476	242
859	1478	240
860	1479	238
861	1481	237
862	1483	235
863	1484	233
864	1486	232
865	1488	230
866	1490	228
867	1491	226
868	1493	225
869	1495	223
870	1496	221
871	1498	219
872	1500	218
873	1501	216
874	1503	214
875	1505	213
876	1506	211
877	1508	209
878	1510	207
879	1511	206
880	1513	204
881	1515	202
882	1517	201
883	1518	199
884	1520	197
885	1522	195
886	1523	194
887	1525	192
888	1527	190
889	1528	188
890	1530	187
891	1532	185
892	1533	183
893	1535	182
894	1537	180
895	1539	178
896	1540	176
897	1542	175
898	1544	173
899	1545	171
900	1547	170
901	1549	168
902	1550	166
903	1552	164
904	1554	163
905	1555	161
906	1557	159
907	1559	157
908	1560	156
909	1562	154
910	1564	152
911	1565	151
912	1567	149
913	1569	147
914	1571	145
915	1572	144
916	1574	142
917	1576	140
918	1577	139
919	1579	137
920	1581	135
921	1582	133
922	1584	132
923	1586	130
924	1587	128
925	1589	127
926	1591	125
927	1593	123
928	1594	121
929	1596	120
930	1598	118
931	1599	116
932	1601	115
933	1603	113
934	1605	111
935	1606	109
936	1608	108
937	1610	106
938	1611	104
939	1613	102
940	1615	101
941	1616	99
942	1618	97
943	1620	96
944	1621	94
945	1623	92
946	1625	90
947	1627	89
948	1628	87
949	1630	85
950	1632	84
951	1633	82
952	1635	80
953	1637	78
954	1638	77
955	1640	75
956	1642	73
957	1644	72
958	1645	70
959	1647	68
960	1649	66
961	1650	65
962	1652	63
963	1654	61
964	1655	60
965	1657	58
966	1659	56
967	1660	54
968	1662	53
969	1664	51
970	1665	49
971	1667	48
972	1669	46
973	1671	44
974	1672	42
975	1674	41
976	1676	39
977	1677	37
978	1679	36
979	1681	34
980	1682	32
981	1684	30
982	1686	29
983	1687	27
984	1689	25
985	1691	24
986	1692	22
987	1694	20
988	1696	18
989	1698	17
990	1699	15
991	1701	13
992	1703	12
993	1704	10
994	1706	8
995	1708	6
996	1709	5
997	1711	3
998	1713	1
999	1714	0
